full_name,category,default_branch,commits_atom,releases_atom
microsoft/zerotrustassessment,samples,main,https://github.com/microsoft/zerotrustassessment/commits/main.atom,https://github.com/microsoft/zerotrustassessment/releases.atom
microsoft/WindowsAppSDK,docs,main,https://github.com/microsoft/WindowsAppSDK/commits/main.atom,https://github.com/microsoft/WindowsAppSDK/releases.atom
dotnet/msbuild,docs,main,https://github.com/dotnet/msbuild/commits/main.atom,https://github.com/dotnet/msbuild/releases.atom
microsoft/content-generation-solution-accelerator,samples,main,https://github.com/microsoft/content-generation-solution-accelerator/commits/main.atom,https://github.com/microsoft/content-generation-solution-accelerator/releases.atom
microsoft/onnxruntime,samples,main,https://github.com/microsoft/onnxruntime/commits/main.atom,https://github.com/microsoft/onnxruntime/releases.atom
microsoft/Multi-Agent-Custom-Automation-Engine-Solution-Accelerator,docs,main,https://github.com/microsoft/Multi-Agent-Custom-Automation-Engine-Solution-Accelerator/commits/main.atom,https://github.com/microsoft/Multi-Agent-Custom-Automation-Engine-Solution-Accelerator/releases.atom
microsoftgraph/msgraph-sample-deltaquery,samples,main,https://github.com/microsoftgraph/msgraph-sample-deltaquery/commits/main.atom,https://github.com/microsoftgraph/msgraph-sample-deltaquery/releases.atom
microsoft/spec-to-agents,docs,main,https://github.com/microsoft/spec-to-agents/commits/main.atom,https://github.com/microsoft/spec-to-agents/releases.atom
Azure/aks-app-routing-operator,docs,main,https://github.com/Azure/aks-app-routing-operator/commits/main.atom,https://github.com/Azure/aks-app-routing-operator/releases.atom
Azure/sap-automation-qa,docs,main,https://github.com/Azure/sap-automation-qa/commits/main.atom,https://github.com/Azure/sap-automation-qa/releases.atom
MicrosoftDocs/azure-docs,docs,main,https://github.com/MicrosoftDocs/azure-docs/commits/main.atom,https://github.com/MicrosoftDocs/azure-docs/releases.atom
MicrosoftDocs/azure-ai-docs,docs,main,https://github.com/MicrosoftDocs/azure-ai-docs/commits/main.atom,https://github.com/MicrosoftDocs/azure-ai-docs/releases.atom
MicrosoftDocs/azure-databases-docs,docs,main,https://github.com/MicrosoftDocs/azure-databases-docs/commits/main.atom,https://github.com/MicrosoftDocs/azure-databases-docs/releases.atom
microsoft/amplifier-module-provider-openai,docs,main,https://github.com/microsoft/amplifier-module-provider-openai/commits/main.atom,https://github.com/microsoft/amplifier-module-provider-openai/releases.atom
Azure/azure-sdk-for-js,docs,main,https://github.com/Azure/azure-sdk-for-js/commits/main.atom,https://github.com/Azure/azure-sdk-for-js/releases.atom
Azure/azure-sdk-for-python,docs,main,https://github.com/Azure/azure-sdk-for-python/commits/main.atom,https://github.com/Azure/azure-sdk-for-python/releases.atom
microsoft/TypeAgent,samples,main,https://github.com/microsoft/TypeAgent/commits/main.atom,https://github.com/microsoft/TypeAgent/releases.atom
dotnet/roslyn,docs,main,https://github.com/dotnet/roslyn/commits/main.atom,https://github.com/dotnet/roslyn/releases.atom
dotnet/extensions-samples,samples,main,https://github.com/dotnet/extensions-samples/commits/main.atom,https://github.com/dotnet/extensions-samples/releases.atom
dotnet/cli-lab,training,main,https://github.com/dotnet/cli-lab/commits/main.atom,https://github.com/dotnet/cli-lab/releases.atom
dotnet/ef6,docs,main,https://github.com/dotnet/ef6/commits/main.atom,https://github.com/dotnet/ef6/releases.atom
Azure/aksArc,docs,main,https://github.com/Azure/aksArc/commits/main.atom,https://github.com/Azure/aksArc/releases.atom
